level_0,index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName,topic_distribution
10,159840,142248,1,Snapchat,,"['not', 'take', 'picture', 'pixel', 'reporting', 'seem', 'happen', 'snapshot', 'fix', 'use', 'application', 'day', 'do', 'friend']",2019-04-08,97073,"Cannot take a picture without my Pixel 2 rebooting. Seems to only happen in Snapchat! Please fix, as I use this app every day as do my friends.",5,can not take a picture without my pixel reporting seems to only happen in snapshot please fix a i use this application every day a do my friend,Yoneo Arai,"[0.028248587570621465, 0.030131826741996225, 0.028248587570621465, 0.030131826741996225, 0.04708097928436913, 0.03954802259887005, 0.028248587570621465, 0.028248587570621465, 0.03766478342749529, 0.04143126177024483, 0.030131826741996225, 0.04519774011299436, 0.028248587570621465, 0.028248587570621465, 0.03389830508474576, 0.04143126177024482, 0.048964218455743884, 0.028248587570621465, 0.039548022598870046, 0.03013182674199623, 0.030131826741996225, 0.028248587570621465, 0.04143126177024483, 0.03013182674199623, 0.028248587570621465, 0.028248587570621465, 0.028248587570621465, 0.028248587570621465, 0.033898305084745756, 0.030131826741996225]"
11,159842,142250,1,Snapchat,,"['fail', 'update', 'be', 'save', 'entire', 'story', 'entire', 'story', 'be', 'still', 'save', 'separately', 'be', 'many', 'people', 'stick', 'instagram', 'snap', 'be', 'get', 'bad', 'update']",2019-04-08,97075,"Another failed update. why is that when I save my entire story it's still saved separately? This is why so many people are just sticking with Instagram, snap is getting worst with every update 🤦🏾‍♀️🤦🏾‍♀️",2,another failed update why is that when i save my entire story my entire story is still saved separately this is why so many people are just sticking with instagram snap is getting worst with every update,Vanitia Bridgers,"[0.026881720430107517, 0.028673835125448018, 0.028673835125448018, 0.026881720430107517, 0.028673835125448018, 0.026881720430107517, 0.08243727598566306, 0.026881720430107517, 0.059139784946236555, 0.053763440860215055, 0.026881720430107517, 0.026881720430107517, 0.028673835125448018, 0.026881720430107517, 0.059139784946236555, 0.028673835125448018, 0.028673835125448018, 0.02867383512544802, 0.026881720430107517, 0.043010752688172046, 0.026881720430107517, 0.030465949820788523, 0.028673835125448018, 0.03763440860215054, 0.026881720430107517, 0.026881720430107517, 0.026881720430107517, 0.028673835125448018, 0.026881720430107517, 0.026881720430107517]"
12,159844,142252,1,Snapchat,,"['update', 'new', 'bug', 'version', 'snapshot', 'introduce', 'message', 'deliver', 'order', 'fix', 'application', 'snapshot']",2019-04-09,97077,This update: New bugs! With this version of Snapchat we introduce chat messages delivering out of order! Please fix this app Snapchat...,1,this update new bug with this version of snapshot we introduce chat message delivering out of order please fix this application snapshot,Michal Hipner,"[0.027777777777777773, 0.027777777777777773, 0.027777777777777773, 0.027777777777777773, 0.029629629629629624, 0.027777777777777773, 0.04444444444444445, 0.04444444444444445, 0.027777777777777773, 0.027777777777777773, 0.04259259259259259, 0.04444444444444445, 0.027777777777777773, 0.029629629629629624, 0.027777777777777773, 0.027777777777777773, 0.04629629629629631, 0.027777777777777773, 0.05000000000000001, 0.027777777777777773, 0.027777777777777773, 0.061111111111111116, 0.04074074074074075, 0.027777777777777773, 0.03148148148148148, 0.027777777777777773, 0.03148148148148148, 0.027777777777777773, 0.029629629629629624, 0.029629629629629624]"
13,159845,142253,1,Snapchat,,"['hear', 'terrible', 'video', 'quality', 'be', 'not', 'able', 'test', 'video', 'quality', 'do', 'not', 'like', 'video', 'quality', 'liked', 'video', 'quality', 'way', 'well', 'video', 'quality', 'black', 'background', 'ew', 'white']",2019-04-08,97079,I heard about how terrible the video quality is and I wasn't able to test it myself but I don't like it. Plus I liked it WAY better when it was a black background. Eww to white.,3,i heard about how terrible the video quality is and i was not able to test the video quality myself but i do not like the video quality plus i liked the video quality way better when the video quality was a black background ew to white,Kaylynn Dodge,"[0.023148148148148147, 0.024691358024691357, 0.023148148148148147, 0.02623456790123457, 0.04166666666666667, 0.02777777777777778, 0.023148148148148147, 0.09259259259259259, 0.024691358024691357, 0.05246913580246915, 0.023148148148148147, 0.03240740740740741, 0.023148148148148147, 0.03703703703703705, 0.023148148148148147, 0.046296296296296315, 0.023148148148148147, 0.024691358024691357, 0.03858024691358026, 0.027777777777777787, 0.024691358024691357, 0.023148148148148147, 0.02777777777777778, 0.03858024691358026, 0.04320987654320989, 0.09104938271604938, 0.023148148148148147, 0.023148148148148147, 0.023148148148148147, 0.023148148148148147]"
14,159848,142256,1,Snapchat,,"['keep', 'jump', 'everytime', 'click', 'application']",2019-04-07,97088,it keeps on jumping off everytime i click on the app,1,it keep on jumping off everytime i click on the application,Shanae McIntosh,"[0.03030303030303031, 0.03232323232323233, 0.03030303030303031, 0.03030303030303031, 0.04444444444444447, 0.03030303030303031, 0.03030303030303031, 0.03030303030303031, 0.03030303030303031, 0.06666666666666671, 0.03030303030303031, 0.05252525252525256, 0.03030303030303031, 0.03030303030303031, 0.04040404040404042, 0.03030303030303031, 0.03030303030303031, 0.03030303030303031, 0.03030303030303031, 0.03030303030303031, 0.03030303030303031, 0.03030303030303031, 0.03030303030303031, 0.03030303030303031, 0.03030303030303031, 0.03030303030303031, 0.03030303030303031, 0.036363636363636376, 0.03030303030303031, 0.03030303030303031]"
15,159855,142263,1,Snapchat,,"['love', 'use', 'lot', 'picture', 'however', 'uninstale', 'not', 'let', 'install']",2019-04-07,97108,i love it i use it for a lot of pictures however i uninstalled it and now its not letting me re install,3,i love it i use it for a lot of picture however i uninstaled it and now it not letting me re install,Strangely Cute,"[0.030864197530864196, 0.030864197530864196, 0.030864197530864196, 0.030864197530864196, 0.030864197530864196, 0.037037037037037035, 0.030864197530864196, 0.030864197530864196, 0.030864197530864196, 0.03292181069958847, 0.030864197530864196, 0.030864197530864196, 0.030864197530864196, 0.030864197530864196, 0.030864197530864196, 0.04320987654320989, 0.030864197530864196, 0.030864197530864196, 0.030864197530864196, 0.03292181069958847, 0.03292181069958848, 0.030864197530864196, 0.049382716049382734, 0.030864197530864196, 0.030864197530864196, 0.030864197530864196, 0.03292181069958847, 0.030864197530864196, 0.041152263374485604, 0.049382716049382734]"
16,159874,142282,1,Snapchat,,"['story', 'crazy', 'story', 'duplicating', 'repeat', 'first', 'part', 'instead', 'play', 'video']",2019-04-07,97145,Story Bugs like crazy my stories are duplicating and repeating the first part over and over instead of playing through the video,2,story bug like crazy my story are duplicating and repeating the first part over and over instead of playing through the video,Devin Edmiston,"[0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.031189083820662777, 0.04678362573099416, 0.02923976608187135, 0.031189083820662777, 0.02923976608187135, 0.04678362573099417, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.02923976608187135, 0.031189083820662773, 0.02923976608187135, 0.02923976608187135, 0.04678362573099417, 0.02923976608187135, 0.033138401559454196, 0.04093567251461991, 0.02923976608187135, 0.02923976608187135, 0.04288499025341133, 0.02923976608187135, 0.031189083820662773, 0.042884990253411324, 0.02923976608187135, 0.04678362573099417, 0.02923976608187135, 0.031189083820662773]"
17,159876,142284,1,Snapchat,,"['time', 'download', 'application', 'application', 'doe', 'not', 'work', 'time', 'application', 'clear', 'effect', 'do', 'not', 'know', 'be', 'matter', 'application', 'also', 'time', 'take', 'lot', 'time', 'effort', 'logging']",2019-04-07,97147,each time i download this app it doesn't work or some time it just clear all the effects and I don't know what is the matter with this app also some times it takes a lot of time and effort just in logging,2,each time i download this application this application doe not work or some time this application just clear all the effect and i do not know what is the matter with this application also some time it take a lot of time and effort just in logging,oiy oiy,"[0.0238095238095238, 0.02539682539682539, 0.04285714285714286, 0.0238095238095238, 0.03492063492063492, 0.0238095238095238, 0.0238095238095238, 0.0238095238095238, 0.0365079365079365, 0.0238095238095238, 0.0238095238095238, 0.10317460317460315, 0.0238095238095238, 0.0238095238095238, 0.02539682539682539, 0.0603174603174603, 0.05238095238095238, 0.02539682539682539, 0.03333333333333333, 0.02539682539682539, 0.0238095238095238, 0.02539682539682539, 0.02698412698412698, 0.07460317460317459, 0.0238095238095238, 0.0365079365079365, 0.0238095238095238, 0.03015873015873015, 0.031746031746031744, 0.0238095238095238]"
18,159880,142288,1,Snapchat,,"['lose', 'streak', 'send']",2019-04-07,97156,I lost all my streaks but I sent all of them,1,i lost all my streak but i sent all of them,pond fishing,"[0.03144654088050314, 0.03144654088050314, 0.05031446540880504, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.05031446540880504, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.05031446540880504, 0.03144654088050314, 0.03144654088050314]"
19,159881,142289,1,Snapchat,,"['hum', 'application', 'be', 'pretty', 'good', 'lately', 'display', 'little', 'bug', 'send', 'picture', 'several', 'people', 'not', 'groupchat', 'be', 'kind', 'send', 'notification', 'appear', 'top', 'conversation', 'list', 'not', 'disappear', 'be', 'pretty', 'annoying']",2019-04-07,97158,"hummm the application is pretty good, but lately the display has a little bug : when i send a picture to several people, but not in a groupchat, there's a kind of sending notification which appear on top of my conversations list and won't disappear. That's pretty annoying...",3,hum the application is pretty good but lately the display has a little bug when i send a picture to several people but not in a groupchat there is a kind of sending notification which appear on top of my conversation list and will not disappear that is pretty annoying,Sam B-t,"[0.02539682539682539, 0.03492063492063493, 0.06666666666666667, 0.0238095238095238, 0.0238095238095238, 0.03015873015873016, 0.06666666666666667, 0.0380952380952381, 0.0238095238095238, 0.025396825396825393, 0.0238095238095238, 0.042857142857142864, 0.0238095238095238, 0.03809523809523809, 0.028571428571428574, 0.04603174603174604, 0.0365079365079365, 0.0238095238095238, 0.0238095238095238, 0.0238095238095238, 0.04920634920634921, 0.05555555555555556, 0.04126984126984127, 0.02539682539682539, 0.0238095238095238, 0.0238095238095238, 0.030158730158730156, 0.0238095238095238, 0.03174603174603175, 0.02539682539682539]"
20,159886,142294,1,Snapchat,,"['new', 'update', 'be', 'phone', 'not', 'android', 'not', 'satisfied', 'fix']",2019-04-07,97170,the new update is only for iPhone and not for Android. not satisfied. please fix this.,1,the new update is only for phone and not for android not satisfied please fix this,Anju Sharma,"[0.037698412698412696, 0.02976190476190475, 0.02976190476190475, 0.02976190476190475, 0.03174603174603174, 0.02976190476190475, 0.047619047619047616, 0.02976190476190475, 0.03174603174603174, 0.02976190476190475, 0.02976190476190475, 0.02976190476190475, 0.03174603174603174, 0.03174603174603174, 0.02976190476190475, 0.05357142857142857, 0.02976190476190475, 0.047619047619047616, 0.03968253968253967, 0.02976190476190475, 0.02976190476190475, 0.04761904761904761, 0.02976190476190475, 0.02976190476190475, 0.02976190476190475, 0.03174603174603174, 0.03174603174603174, 0.02976190476190475, 0.02976190476190475, 0.02976190476190475]"
21,159923,142331,1,Snapchat,,"['video', 'friend', 'story', 'freezing', 'fix']",2019-04-07,97248,the videos on my friends stories are freezing!! please fix!!!,4,the video on my friend story are freezing please fix,Krista Meers,"[0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.034188034188034185, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.051282051282051294, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.04914529914529916, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204]"
22,159925,142333,1,Snapchat,,"['mention', 'someone', 'story', 'not', 'see', 'mention', 'fix', 'story']",2019-04-07,97252,when i mention someone on my story not seeing mentioning plzz fix it,1,when i mention someone on my story not seeing mentioning plc fix my story,Khan Saquib,"[0.03174603174603174, 0.02976190476190475, 0.02976190476190475, 0.02976190476190475, 0.02976190476190475, 0.02976190476190475, 0.06547619047619047, 0.061507936507936505, 0.02976190476190475, 0.02976190476190475, 0.02976190476190475, 0.03968253968253967, 0.03174603174603174, 0.03174603174603174, 0.02976190476190475, 0.0376984126984127, 0.02976190476190475, 0.03174603174603174, 0.03174603174603174, 0.02976190476190475, 0.02976190476190475, 0.03174603174603174, 0.02976190476190475, 0.037698412698412696, 0.02976190476190475, 0.03174603174603174, 0.02976190476190475, 0.02976190476190475, 0.02976190476190475, 0.02976190476190475]"
23,160549,142957,1,Snapchat,,"['not', 'receive', 'notification', 'anymore']",2019-04-07,98564,Not receiving notifications anymore,2,not receiving notification anymore,Lorenzo Lokker,"[0.030864197530864185, 0.032921810699588466, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.04938271604938271, 0.030864197530864185, 0.047325102880658436, 0.032921810699588466, 0.06172839506172839, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.032921810699588466, 0.030864197530864185, 0.030864197530864185, 0.032921810699588466, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185]"
24,160551,142959,1,Snapchat,,"['be', 'be', 'acting_weird', 'ever', 'update', 'have', 'not', 'be', 'able', 'chat', 'call', 'send', 'anything', 'friend', 'have', 'log', 'log', 'back', 'powered', 'restart', 'phone', 'download', 'download', 'application', 'download', 'still', 'not', 'work', 'do', 'not', 'ignore', 'fix', 'application']",2019-04-07,98566,"It's been acting weird ever since the update. I haven't been able to chat, call, or SEND anything to ANY of my friends. I've logged out, logged back in, powered off, restarted my phone, undownload and then redownload the app and it STILL hasn't worked. Don't ignore us; fix the app!!",4,it is been acting weird ever since the update i have not been able to chat call or send anything to any of my friend i have logged out logged back in powered off restarted my phone download and then download the application and download still has not worked do not ignore u fix the application,Cuccy Animations,"[0.028129395218002815, 0.02109704641350211, 0.032348804500703245, 0.02109704641350211, 0.07032348804500703, 0.02109704641350211, 0.03516174402250353, 0.045007032348804515, 0.02672292545710268, 0.02672292545710268, 0.023909985935302393, 0.07172995780590717, 0.03797468354430381, 0.02250351617440225, 0.02531645569620253, 0.05203938115330521, 0.03938115330520395, 0.04641350210970466, 0.02672292545710268, 0.04078762306610409, 0.02250351617440225, 0.023909985935302393, 0.02109704641350211, 0.02531645569620253, 0.02531645569620253, 0.02250351617440225, 0.028129395218002815, 0.06329113924050633, 0.030942334739803106, 0.02250351617440225]"
25,160554,142962,1,Snapchat,,"['hate', 'update', 'update', 'keep', 'crash']",2019-04-07,98575,i hate the update. it keeps crashing,3,i hate the update the update keep crashing,Nadine Fields,"[0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.07051282051282053, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204]"
26,160558,142966,1,Snapchat,,"['new', 'version', 'be', 'bad']",2019-04-07,98587,new version is worst,1,new version is worst,A Google User,"[0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.07051282051282053, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204]"
