level_0,index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName,Unnamed: 12,Unnamed: 13,topic_distribution
13,174952,157360,1,Whatsapp,,"['update', 'status', 'voice', 'not', 'play', 'properly']",2019-04-12,29465,after updating some Status voice can't play properly,5,after updating some status voice can not play properly,Sufyan Shahzad,,,"[0.030864197530864192, 0.030864197530864192, 0.030864197530864192, 0.030864197530864192, 0.030864197530864192, 0.030864197530864192, 0.030864197530864192, 0.030864197530864192, 0.03292181069958847, 0.030864197530864192, 0.030864197530864192, 0.030864197530864192, 0.030864197530864192, 0.030864197530864192, 0.030864197530864192, 0.030864197530864192, 0.030864197530864192, 0.030864197530864192, 0.030864197530864192, 0.04732510288065844, 0.03292181069958847, 0.04732510288065845, 0.030864197530864192, 0.030864197530864192, 0.030864197530864192, 0.03292181069958847, 0.06584362139917696, 0.030864197530864192, 0.030864197530864192, 0.030864197530864192]"
14,174959,157367,1,Whatsapp,,"['new', 'update', 'have', 'smile', 'not', 'support', 'text', 'status', 'fix']",2019-04-17,29472,"New updates have smiles are not supported in text status, plz fix it.....",3,new update have smile are not supported in text status please fix it,Shahzad Khan,,,"[0.029761904761904753, 0.029761904761904753, 0.04365079365079365, 0.03769841269841269, 0.029761904761904753, 0.04365079365079365, 0.029761904761904753, 0.029761904761904753, 0.029761904761904753, 0.029761904761904753, 0.03968253968253969, 0.04761904761904762, 0.029761904761904753, 0.029761904761904753, 0.029761904761904753, 0.029761904761904753, 0.029761904761904753, 0.029761904761904753, 0.029761904761904753, 0.029761904761904753, 0.029761904761904753, 0.06547619047619048, 0.029761904761904753, 0.029761904761904753, 0.029761904761904753, 0.029761904761904753, 0.03373015873015873, 0.029761904761904753, 0.029761904761904753, 0.03373015873015873]"
15,174964,157372,1,Whatsapp,,"['suddenly', 'get', 'lag', 'not', 'respond', 'fix']",2019-04-17,29481,"suddenly getting very lag and not responding , pls fix",1,suddenly getting very lag and not responding please fix,Winnie Soh,,,"[0.05031446540880504, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.05031446540880504, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.05031446540880504, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314]"
16,174965,157373,1,Whatsapp,,"['be', 'not', 'respond', 'be', 'work', 'fine', 'be', 'still', 'not', 'work']",2019-04-14,29483,my whatapp is not responding . but other is working just fine . it is still not working.,1,my what is not responding but other is working just fine it is still not working,syiqin norhadi,,,"[0.03086419753086419, 0.03086419753086419, 0.03086419753086419, 0.03086419753086419, 0.03909465020576132, 0.03086419753086419, 0.032921810699588466, 0.03086419753086419, 0.03086419753086419, 0.03086419753086419, 0.03086419753086419, 0.037037037037037035, 0.03086419753086419, 0.03086419753086419, 0.03086419753086419, 0.03086419753086419, 0.03086419753086419, 0.03086419753086419, 0.032921810699588466, 0.03086419753086419, 0.03086419753086419, 0.06790123456790123, 0.03086419753086419, 0.03086419753086419, 0.03086419753086419, 0.03086419753086419, 0.04938271604938272, 0.03086419753086419, 0.03086419753086419, 0.03086419753086419]"
17,174966,157374,1,Whatsapp,,"['not', 'hang', 'voice', 'call', 'push', 'hang', 'red', 'button', 'put', 'hang', 'red', 'button', 'speaker', 'do', 'not', 'have', 'similar', 'problem', 'pastis', 'suck']",2019-04-14,29484,Now i can not hung up a voice call when i push the hungup red button or put it on a speaker.i dont have similar problem with other apps.This sucks.,3,now i can not hung up a voice call when i push the hung-up red button or put the hung-up red button on a speaker do not have similar problem with other pastis suck,Helen Amare,,,"[0.04102564102564102, 0.027350427350427337, 0.025641025641025626, 0.04102564102564102, 0.07179487179487176, 0.052991452991452984, 0.052991452991452984, 0.027350427350427337, 0.027350427350427337, 0.025641025641025626, 0.025641025641025626, 0.03931623931623931, 0.025641025641025626, 0.025641025641025626, 0.025641025641025626, 0.025641025641025626, 0.027350427350427337, 0.025641025641025626, 0.025641025641025626, 0.025641025641025626, 0.025641025641025626, 0.054700854700854694, 0.05811965811965811, 0.027350427350427337, 0.025641025641025626, 0.025641025641025626, 0.04102564102564102, 0.025641025641025626, 0.025641025641025626, 0.025641025641025626]"
18,174970,157378,1,Whatsapp,,"['new', 'update', 'be', 'crash', 'frequently', 'samsung', 'professional']",2019-04-14,29488,This new update is crashing frequently! Samsung J7 Pro,5,this new update is crashing frequently samsung j professional,UzaiD VazifdaR,,,"[0.030303030303030307, 0.05050505050505053, 0.030303030303030307, 0.038383838383838395, 0.030303030303030307, 0.040404040404040414, 0.030303030303030307, 0.030303030303030307, 0.030303030303030307, 0.030303030303030307, 0.038383838383838395, 0.030303030303030307, 0.030303030303030307, 0.030303030303030307, 0.030303030303030307, 0.030303030303030307, 0.030303030303030307, 0.0383838383838384, 0.0383838383838384, 0.030303030303030307, 0.030303030303030307, 0.030303030303030307, 0.04040404040404042, 0.030303030303030307, 0.030303030303030307, 0.030303030303030307, 0.03232323232323233, 0.04646464646464649, 0.030303030303030307, 0.030303030303030307]"
19,174971,157379,1,Whatsapp,,"['last', 'update', 'ap', 'be', 'not', 'share', 'status', 'properly', 'post', 'video', 'song', 'status', 'story', 'last', 'update', 'ap', 'be', 'post', 'succesful', 'missing', 'voice', 'video', 'song']",2019-04-14,29489,"After Last Update This Aap Isn't share Status properlly,If I Post a Video Song On My Status Story It's Posted Sucessfull, But Missing Voice of That Song.👍",2,after last update this ap is not share status properly i post a video song on my status story last update this ap is posted succesful but missing voice of a video song,Ankush Kumar,,,"[0.027322404371584702, 0.027322404371584702, 0.027322404371584702, 0.027322404371584702, 0.027322404371584702, 0.027322404371584702, 0.10928961748633881, 0.027322404371584702, 0.027322404371584702, 0.027322404371584702, 0.027322404371584702, 0.03825136612021859, 0.027322404371584702, 0.027322404371584702, 0.027322404371584702, 0.027322404371584702, 0.03278688524590165, 0.027322404371584702, 0.027322404371584702, 0.027322404371584702, 0.027322404371584702, 0.06557377049180331, 0.0382513661202186, 0.027322404371584702, 0.027322404371584702, 0.02914389799635702, 0.05828779599271405, 0.027322404371584702, 0.027322404371584702, 0.027322404371584702]"
20,174972,157380,1,Whatsapp,,"['suddenly', 'do', 'not', 'work', 'anything', 'problem', 'system']",2019-04-14,29490,Hi why suddenly WhatsApp didn't work anything problem in system,5,hi why suddenly whatsit did not work anything problem in system,Debhan Rao,,,"[0.04732510288065843, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.04320987654320988, 0.030864197530864185, 0.032921810699588466, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.03909465020576131, 0.030864197530864185, 0.030864197530864185, 0.03292181069958846, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.03909465020576131, 0.030864197530864185, 0.053497942386831275, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.03292181069958846, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185]"
21,174974,157382,1,Whatsapp,,"['status', 'not', 'load', 'properly']",2019-04-19,29492,status not loading properly,1,status not loading properly,GANAPATHI M,,,"[0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.05031446540880505, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.05031446540880505, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.05031446540880505, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145]"
22,174975,157383,1,Whatsapp,,"['not', 'use', 'start']",2019-04-14,29493,why cannot use whatsapp start from 6.30 until now..,2,why can not use whatsit start from until now,Lui TecK Huoy,,,"[0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.04700854700854701, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03418803418803418, 0.05341880341880343, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204]"
23,174977,157385,1,Whatsapp,,"['call', 'not', 'good', 'network']",2019-04-19,29495,in call not good network,3,in call not good network,Nandita Goel,,,"[0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.05031446540880504, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.05031446540880504, 0.03144654088050314, 0.05031446540880504, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314]"
24,174982,157390,1,Whatsapp,,"['doe', 'not', 'work']",2019-04-14,29502,mine does not work,1,mine doe not work,Sahabat Berbagi'94,,,"[0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.051282051282051294, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.051282051282051294, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204]"
25,174984,157392,1,Whatsapp,,"['unable', 'connect', 'reason']",2019-04-14,29504,unable to connect for no reason,1,unable to connect for no reason,adayzzz,,,"[0.0326797385620915, 0.0326797385620915, 0.0326797385620915, 0.0326797385620915, 0.0326797385620915, 0.0326797385620915, 0.0326797385620915, 0.03485838779956426, 0.0326797385620915, 0.0326797385620915, 0.0326797385620915, 0.0326797385620915, 0.0326797385620915, 0.047930283224400884, 0.0326797385620915, 0.0326797385620915, 0.0326797385620915, 0.0326797385620915, 0.0326797385620915, 0.0326797385620915, 0.03485838779956427, 0.0326797385620915, 0.0326797385620915, 0.0326797385620915, 0.0326797385620915, 0.0326797385620915, 0.0326797385620915, 0.0326797385620915, 0.0326797385620915, 0.0326797385620915]"
26,174985,157393,1,Whatsapp,,"['horrible', 'doe', 'not', 'work', 'properly']",2019-04-21,29506,horrible it doesn't work properly,1,horrible it doe not work properly,Fathima shehla Haafiz,,,"[0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.04938271604938271, 0.030864197530864185, 0.030864197530864185, 0.04938271604938271, 0.030864197530864185, 0.032921810699588466, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.047325102880658436, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.032921810699588466, 0.047325102880658436, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185]"
27,174987,157395,1,Whatsapp,,"['bore', 'want', 'gbwhatsap']",2019-04-20,29508,boring and I want gbwhatsapp,1,boring and i want gbwhatsap,winlady Temu,,,"[0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.04700854700854701, 0.03205128205128204, 0.05341880341880343, 0.03418803418803418, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204]"
28,174988,157396,1,Whatsapp,,"['be', 'not', 'working_properly']",2019-04-20,29509,it is not working properly for me,1,it is not working properly for me,anonymous ??,,,"[0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.051282051282051294, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03632478632478632, 0.04700854700854701, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204]"
29,174993,157401,1,Whatsapp,,"['video', 'call', 'keep', 'fail']",2019-04-18,29515,video call keep failing,1,video call keep failing,cleon morrison,,,"[0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.05031446540880504, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.05031446540880504, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.05031446540880504, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314]"
30,174994,157402,1,Whatsapp,,"['last', 'update', 'be', 'totally', 'disappointing']",2019-04-18,29516,last update is totally disappointing,1,last update is totally disappointing,Puneet Prajapati,,,"[0.051282051282051294, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.051282051282051294, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204]"
31,174995,157403,1,Whatsapp,,"['not', 'work', 'correctly']",2019-04-18,29517,its not working correctly,1,its not working correctly,Abhinav Ks,,,"[0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03418803418803418, 0.05341880341880343, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.04700854700854701, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204, 0.03205128205128204]"
