,tweet-id,timestamp,likes,replies,retweets,text
129,1092097726630772736,2019-02-03 16:29:22,0,1,1,abus i mani peopl face bad servic whatsapw biggest problem whatsit send photo document anyon whatsit then receiv receiv photo document receipt origin size
130,1092066865025859586,2019-02-03 14:26:44,0,0,0,abus latest whatsapl busi instal got error
131,1092049941185290242,2019-02-03 13:19:29,0,0,0,abus sir receiv sm phone call verif code purpos want know problem side sim problem
132,1092003888545386497,2019-02-03 10:16:30,1,0,0,abus i found bug whatsit when i delet statu whatsit statu seen fund account after problem i uninst whatsit problem solv bakwastausopt whatsnew
133,1092001442486018049,2019-02-03 10:06:46,0,0,0,abus there bug delet messag someon repli messag delet delet messag still shown repli bodi
134,1091964319208820736,2019-02-03 07:39:16,0,0,0,abus bug just notic appar test team expect the ti are stamp level mix emosi text pictwitercompxewjyhqt
135,1091936172111286272,2019-02-03 05:47:25,0,0,0,abus whatsit block problem import
136,1091917242386640897,2019-02-03 04:32:12,0,0,0,abus day count you need address issu sinc clearli anomali ill abus daili basi provid suffici respons a explain intentionalmishap b clearli state cours action you take
137,1091853952856084481,2019-02-03 00:20:42,0,0,0,my whatsit number block pleas solv problem
152,1099604246654345216,2019-02-24 09:37:36,0,0,0,abus need make new version whatsit night mode optionmost u gat bad eye thank
153,1099321110540283904,2019-02-23 14:52:31,0,1,0,abus hey sure i one face issu am unabl send receiv messag today noon devic oner t anyon face issu whatsit
156,1096850739639443456,2019-02-16 19:16:09,0,0,0,abus i beta tester screenshot issu if i go back ongo video call screen stop take touch input i assum start happen last updat pictwitercomfqewjkol
157,1096707798883278849,2019-02-16 09:48:09,0,0,0,abus the last updat bad i forward messag person i hope restor previou system
158,1096487856292409345,2019-02-15 19:14:11,0,0,0,abus fix applic
159,1096449582618238977,2019-02-15 16:42:06,0,0,0,abus bug report android want share pictur add caption emosi last charact caption press send post disappear get sent
160,1096394314182123520,2019-02-15 13:02:29,0,0,0,abus unabl make video call whtsap despit fast internet connect can fix problem pleas
161,1096336188783222784,2019-02-15 09:11:31,0,1,0,abus number work sinc day i instal uninst ti ame pleas see account problem asap if kind big social webster work like wat done
162,1096279642229690368,2019-02-15 05:26:49,0,0,0,abus hello problem whatsit open applic say account suspend help pleas
170,1098334585056825346,2019-02-20 21:32:25,0,1,1,abus thi couldnt bad would
171,1098334314566160387,2019-02-20 21:31:21,0,0,0,abus i bought new number i found whatsit account ban problem i contact whatsit support i receiv automat answer problem solv pictwitercomisybhxbj
172,1098212119126913026,2019-02-20 13:25:47,0,0,0,abus abus number got block whatsit insid joke friend i group name can someon pleas help resolv issu i get anyth autom repli whatsit support
173,1098198407779299333,2019-02-20 12:31:18,0,0,0,abus bug ap it crash i click emot left chat box unabl download photo kept say intern memori full not thi one major issu
174,1098194761217949696,2019-02-20 12:16:49,0,0,0,abus issu jpeg file it use mani program download whatsit web i open file paint resal
175,1098160216032583680,2019-02-20 09:59:32,0,0,0,abus phone broken new one differ number use number get whatsit phone
176,1097921958551916544,2019-02-19 18:12:47,0,0,0,abus i discov program error whatsit
177,1097884964060827649,2019-02-19 15:45:47,0,0,0,buena uv un error bloquearon del whatsit por que yo tango bono mi cell su compar otto chip
178,1097791075937329152,2019-02-19 09:32:43,0,0,0,abus way login web applic without qr code my camera broken i mean guy anyth manual help
179,1097777457212678149,2019-02-19 08:38:36,0,0,0,i issu i read messag chrome browser
180,1097673765939367936,2019-02-19 01:46:34,0,0,0,abus phone broke longer access phone phone number i use whatsit account new phone
192,1098719326167855104,2019-02-21 23:01:15,0,0,0,abus hello id like report issu i receiv audio messag i hear audio ear when i put phone ear audio stop
193,1098711026038722560,2019-02-21 22:28:16,0,0,0,abus land en la ltd ala horn una actual que solut el bug que permit altar el bloqueo con face id touch id
194,1098676301353926656,2019-02-21 20:10:17,0,0,0,abus can pleas updat whatsit io becaus last updat bad i sent forward massag peopl thank
195,1098565878612815874,2019-02-21 12:51:30,0,0,0,abus i get verif code number i get messag tri mani ti ame wait hour pleas look issu
196,1098555605378203648,2019-02-21 12:10:41,0,0,0,abus is phone verif broken i tri move account phone i sinc i receiv messag call verif i remov old phone i tri hour can anyon help pleas
197,1098490916162027522,2019-02-21 07:53:38,0,0,0,abus hey i forget code verif put email account now use what applic issu look hear soon thank
